date,Open,High,Low,Close,Adjusted Close,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-09-30,230.04,233.0,229.65,233.0,232.74,54793391,54793391,2.96,1.29,231.4225,"September 30, 24",0.0129
2024-09-27,228.46,229.52,227.3,227.79,227.54,34026000,34026000,-0.67,-0.29327,228.2675,"September 27, 24",-0.0029327
2024-09-26,227.3,228.5,225.41,227.52,227.27,36636707,36636707,0.22,0.09678839,227.1825,"September 26, 24",0.0009678839
2024-09-25,224.93,227.29,224.02,226.37,226.12,42308715,42308715,1.44,0.6402,225.6525,"September 25, 24",0.006402
2024-09-24,228.65,229.35,225.73,227.37,227.12,43556100,43556100,-1.28,-0.55981,227.775,"September 24, 24",-0.0055981
2024-09-23,227.34,229.45,225.81,226.47,226.22,54146023,54146023,-0.87,-0.38269,227.2675,"September 23, 24",-0.0038269
2024-09-20,229.97,233.09,227.62,228.2,227.95,318679900,318679900,-1.77,-0.76967,229.72,"September 20, 24",-0.0076967
2024-09-19,224.99,229.82,224.63,228.87,228.62,66781315,66781315,3.88,1.72,227.0775,"September 19, 24",0.0172
2024-09-18,217.55,222.71,217.54,220.69,220.45,59894928,59894928,3.14,1.44,219.6225,"September 18, 24",0.0144
2024-09-17,215.75,216.9,214.5,216.79,216.55,45519339,45519339,1.04,0.48204,215.985,"September 17, 24",0.0048204
2024-09-16,216.54,217.22,213.92,216.32,216.08,59357427,59357427,-0.22,-0.1016,216.0,"September 16, 24",-0.001016
2024-09-13,223.58,224.04,221.91,222.5,222.26,36766619,36766619,-1.08,-0.48305,223.0075,"September 13, 24",-0.0048305
2024-09-12,222.5,223.55,219.82,222.77,222.53,37498225,37498225,0.27,0.12135,222.16,"September 12, 24",0.0012135
2024-09-11,221.46,223.09,217.89,222.66,222.42,44587100,44587100,1.2,0.54186,221.275,"September 11, 24",0.0054186
2024-09-10,218.92,221.48,216.73,220.11,219.87,51591033,51591033,1.19,0.54358,219.31,"September 10, 24",0.0054358
2024-09-09,220.82,221.27,216.71,220.91,220.67,67180000,67180000,0.09,0.04075718,219.9275,"September 09, 24",0.0004075718
